"agency_id","route_id","route_short_name","route_long_name","route_type"
"MGL","R_229","RSn 229","Long Name 229","3"
"MGL","R_230","RSn 230","Long Name 230","3"
"MGL","R_231","RSn 231","Long Name 231","3"
"MGL","R_232","RSn 232","Long Name 232","3"
"MGL","R_233","RSn 233","Long Name 233","3"
"MGL","R_234","RSn 234","Long Name 234","3"
"MGL","R_235","RSn 235","Long Name 235","3"
"MGL","R_236","RSn 236","Long Name 236","3"
"MGL","R_237","RSn 237","Long Name 237","3"
"MGL","R_238","RSn 238","Long Name 238","3"
"MGL","R_239","RSn 239","Long Name 239","3"
"MGL","R_240","RSn 240","Long Name 240","3"
"MGL","R_241","RSn 241","Long Name 241","3"
"MGL","R_242","RSn 242","Long Name 242","3"
"MGL","R_243","RSn 243","Long Name 243","3"
"MGL","R_244","RSn 244","Long Name 244","3"
"MGL","R_245","RSn 245","Long Name 245","3"
"MGL","R_246","RSn 246","Long Name 246","3"
"MGL","R_247","RSn 247","Long Name 247","3"
"MGL","R_248","RSn 248","Long Name 248","3"
"MGL","R_249","RSn 249","Long Name 249","3"
"MGL","R_250","RSn 250","Long Name 250","3"
"MGL","R_251","RSn 251","Long Name 251","3"
"MGL","R_252","RSn 252","Long Name 252","3"
"MGL","R_253","RSn 253","Long Name 253","3"
"MGL","R_254","RSn 254","Long Name 254","3"
"MGL","R_255","RSn 255","Long Name 255","3"
"MGL","R_256","RSn 256","Long Name 256","3"
"MGL","R_257","RSn 257","Long Name 257","3"
"MGL","R_258","RSn 258","Long Name 258","3"
"MGL","R_259","RSn 259","Long Name 259","3"
"MGL","R_260","RSn 260","Long Name 260","3"
"MGL","R_261","RSn 261","Long Name 261","3"
"MGL","R_262","RSn 262","Long Name 262","3"
"MGL","R_263","RSn 263","Long Name 263","3"
"MGL","R_264","RSn 264","Long Name 264","3"
"MGL","R_265","RSn 265","Long Name 265","3"
"MGL","R_266","RSn 266","Long Name 266","3"
"MGL","R_267","RSn 267","Long Name 267","3"
"MGL","R_268","RSn 268","Long Name 268","3"
"MGL","R_269","RSn 269","Long Name 269","3"
"MGL","R_270","RSn 270","Long Name 270","3"
"MGL","R_271","RSn 271","Long Name 271","3"
"MGL","R_272","RSn 272","Long Name 272","3"
"MGL","R_273","RSn 273","Long Name 273","3"
"MGL","R_274","RSn 274","Long Name 274","3"
"MGL","R_275","RSn 275","Long Name 275","3"
"MGL","R_276","RSn 276","Long Name 276","3"
"MGL","R_277","RSn 277","Long Name 277","3"
"MGL","R_278","RSn 278","Long Name 278","3"
"MGL","R_279","RSn 279","Long Name 279","3"
"MGL","R_280","RSn 280","Long Name 280","3"
"MGL","R_281","RSn 281","Long Name 281","3"
"MGL","R_282","RSn 282","Long Name 282","3"
"MGL","R_283","RSn 283","Long Name 283","3"
"MGL","R_284","RSn 284","Long Name 284","3"
"MGL","R_285","RSn 285","Long Name 285","3"
"MGL","R_286","RSn 286","Long Name 286","3"
"MGL","R_287","RSn 287","Long Name 287","3"
"MGL","R_288","RSn 288","Long Name 288","3"
"MGL","R_289","RSn 289","Long Name 289","3"
"MGL","R_290","RSn 290","Long Name 290","3"
"MGL","R_291","RSn 291","Long Name 291","3"
"MGL","R_292","RSn 292","Long Name 292","3"
"MGL","R_293","RSn 293","Long Name 293","3"
"MGL","R_294","RSn 294","Long Name 294","3"
"MGL","R_295","RSn 295","Long Name 295","3"
"MGL","R_296","RSn 296","Long Name 296","3"
"MGL","R_297","RSn 297","Long Name 297","3"
"MGL","R_298","RSn 298","Long Name 298","3"
"MGL","R_299","RSn 299","Long Name 299","3"
"MGL","R_300","RSn 300","Long Name 300","3"
"MGL","R_301","RSn 301","Long Name 301","3"
"MGL","R_302","RSn 302","Long Name 302","3"
"MGL","R_303","RSn 303","Long Name 303","3"
"MGL","R_304","RSn 304","Long Name 304","3"
"MGL","R_305","RSn 305","Long Name 305","3"
"MGL","R_306","RSn 306","Long Name 306","3"
"MGL","R_307","RSn 307","Long Name 307","3"
"MGL","R_308","RSn 308","Long Name 308","3"
"MGL","R_309","RSn 309","Long Name 309","3"
"MGL","R_310","RSn 310","Long Name 310","3"
"MGL","R_311","RSn 311","Long Name 311","3"
"MGL","R_312","RSn 312","Long Name 312","3"
"MGL","R_313","RSn 313","Long Name 313","3"
"MGL","R_314","RSn 314","Long Name 314","3"
"MGL","R_315","RSn 315","Long Name 315","3"
"MGL","R_316","RSn 316","Long Name 316","3"
"MGL","R_317","RSn 317","Long Name 317","3"
"MGL","R_318","RSn 318","Long Name 318","3"
"MGL","R_319","RSn 319","Long Name 319","3"
"MGL","R_320","RSn 320","Long Name 320","3"
"MGL","R_321","RSn 321","Long Name 321","3"
"MGL","R_322","RSn 322","Long Name 322","3"
"MGL","R_323","RSn 323","Long Name 323","3"
"MGL","R_324","RSn 324","Long Name 324","3"
"MGL","R_325","RSn 325","Long Name 325","3"
"MGL","R_326","RSn 326","Long Name 326","3"
"MGL","R_327","RSn 327","Long Name 327","3"
"MGL","R_328","RSn 328","Long Name 328","3"
"MGL","R_329","RSn 329","Long Name 329","3"
"MGL","R_330","RSn 330","Long Name 330","3"
"MGL","R_331","RSn 331","Long Name 331","3"
"MGL","R_332","RSn 332","Long Name 332","3"
"MGL","R_333","RSn 333","Long Name 333","3"
"MGL","R_334","RSn 334","Long Name 334","3"
"MGL","R_335","RSn 335","Long Name 335","3"
"MGL","R_336","RSn 336","Long Name 336","3"
"MGL","R_337","RSn 337","Long Name 337","3"
"MGL","R_338","RSn 338","Long Name 338","3"
"MGL","R_339","RSn 339","Long Name 339","3"
"MGL","R_340","RSn 340","Long Name 340","3"
"MGL","R_341","RSn 341","Long Name 341","3"
"MGL","R_342","RSn 342","Long Name 342","3"
"MGL","R_343","RSn 343","Long Name 343","3"
"MGL","R_344","RSn 344","Long Name 344","3"
"MGL","R_345","RSn 345","Long Name 345","3"
"MGL","R_346","RSn 346","Long Name 346","3"
"MGL","R_347","RSn 347","Long Name 347","3"
"MGL","R_348","RSn 348","Long Name 348","3"
"MGL","R_349","RSn 349","Long Name 349","3"
"MGL","R_350","RSn 350","Long Name 350","3"
"MGL","R_351","RSn 351","Long Name 351","3"
"MGL","R_352","RSn 352","Long Name 352","3"
"MGL","R_353","RSn 353","Long Name 353","3"
"MGL","R_354","RSn 354","Long Name 354","3"
"MGL","R_355","RSn 355","Long Name 355","3"
"MGL","R_356","RSn 356","Long Name 356","3"
"MGL","R_357","RSn 357","Long Name 357","3"
"MGL","R_358","RSn 358","Long Name 358","3"
"MGL","R_359","RSn 359","Long Name 359","3"
"MGL","R_360","RSn 360","Long Name 360","3"
"MGL","R_361","RSn 361","Long Name 361","3"
"MGL","R_362","RSn 362","Long Name 362","3"
"MGL","R_363","RSn 363","Long Name 363","3"
"MGL","R_364","RSn 364","Long Name 364","3"
"MGL","R_365","RSn 365","Long Name 365","3"
"MGL","R_366","RSn 366","Long Name 366","3"
"MGL","R_367","RSn 367","Long Name 367","3"
"MGL","R_368","RSn 368","Long Name 368","3"
"MGL","R_369","RSn 369","Long Name 369","3"
"MGL","R_370","RSn 370","Long Name 370","3"
"MGL","R_371","RSn 371","Long Name 371","3"
"MGL","R_372","RSn 372","Long Name 372","3"
"MGL","R_373","RSn 373","Long Name 373","3"
"MGL","R_374","RSn 374","Long Name 374","3"
"MGL","R_375","RSn 375","Long Name 375","3"
"MGL","R_376","RSn 376","Long Name 376","3"
"MGL","R_377","RSn 377","Long Name 377","3"
"MGL","R_378","RSn 378","Long Name 378","3"
"MGL","R_379","RSn 379","Long Name 379","3"
"MGL","R_380","RSn 380","Long Name 380","3"
"MGL","R_381","RSn 381","Long Name 381","3"
"MGL","R_382","RSn 382","Long Name 382","3"
"MGL","R_383","RSn 383","Long Name 383","3"
"MGL","R_384","RSn 384","Long Name 384","3"
"MGL","R_385","RSn 385","Long Name 385","3"
"MGL","R_386","RSn 386","Long Name 386","3"
"MGL","R_387","RSn 387","Long Name 387","3"
"MGL","R_388","RSn 388","Long Name 388","3"
"MGL","R_389","RSn 389","Long Name 389","3"
"MGL","R_390","RSn 390","Long Name 390","3"
"MGL","R_391","RSn 391","Long Name 391","3"
"MGL","R_392","RSn 392","Long Name 392","3"
"MGL","R_393","RSn 393","Long Name 393","3"
"MGL","R_394","RSn 394","Long Name 394","3"
"MGL","R_395","RSn 395","Long Name 395","3"
"MGL","R_396","RSn 396","Long Name 396","3"
"MGL","R_397","RSn 397","Long Name 397","3"
"MGL","R_398","RSn 398","Long Name 398","3"
"MGL","R_399","RSn 399","Long Name 399","3"
"MGL","R_400","RSn 400","Long Name 400","3"
"MGL","R_401","RSn 401","Long Name 401","3"
"MGL","R_402","RSn 402","Long Name 402","3"
"MGL","R_403","RSn 403","Long Name 403","3"
"MGL","R_404","RSn 404","Long Name 404","3"
"MGL","R_405","RSn 405","Long Name 405","3"
"MGL","R_406","RSn 406","Long Name 406","3"
"MGL","R_407","RSn 407","Long Name 407","3"
"MGL","R_408","RSn 408","Long Name 408","3"
"MGL","R_409","RSn 409","Long Name 409","3"
"MGL","R_410","RSn 410","Long Name 410","3"
"MGL","R_411","RSn 411","Long Name 411","3"
"MGL","R_412","RSn 412","Long Name 412","3"
"MGL","R_413","RSn 413","Long Name 413","3"
"MGL","R_414","RSn 414","Long Name 414","3"
"MGL","R_415","RSn 415","Long Name 415","3"
"MGL","R_416","RSn 416","Long Name 416","3"
"MGL","R_417","RSn 417","Long Name 417","3"
"MGL","R_418","RSn 418","Long Name 418","3"
"MGL","R_419","RSn 419","Long Name 419","3"
"MGL","R_420","RSn 420","Long Name 420","3"
"MGL","R_421","RSn 421","Long Name 421","3"
"MGL","R_422","RSn 422","Long Name 422","3"
"MGL","R_423","RSn 423","Long Name 423","3"
"MGL","R_424","RSn 424","Long Name 424","3"
"MGL","R_425","RSn 425","Long Name 425","3"
"MGL","R_426","RSn 426","Long Name 426","3"
"MGL","R_427","RSn 427","Long Name 427","3"
"MGL","R_428","RSn 428","Long Name 428","3"
"MGL","R_429","RSn 429","Long Name 429","3"
"MGL","R_430","RSn 430","Long Name 430","3"
"MGL","R_431","RSn 431","Long Name 431","3"
"MGL","R_432","RSn 432","Long Name 432","3"
"MGL","R_433","RSn 433","Long Name 433","3"
"MGL","R_434","RSn 434","Long Name 434","3"
"MGL","R_435","RSn 435","Long Name 435","3"
"MGL","R_436","RSn 436","Long Name 436","3"
"MGL","R_437","RSn 437","Long Name 437","3"
"MGL","R_438","RSn 438","Long Name 438","3"
"MGL","R_439","RSn 439","Long Name 439","3"
"MGL","R_440","RSn 440","Long Name 440","3"
"MGL","R_441","RSn 441","Long Name 441","3"
"MGL","R_442","RSn 442","Long Name 442","3"
"MGL","R_443","RSn 443","Long Name 443","3"
"MGL","R_444","RSn 444","Long Name 444","3"
"MGL","R_445","RSn 445","Long Name 445","3"
"MGL","R_446","RSn 446","Long Name 446","3"
"MGL","R_447","RSn 447","Long Name 447","3"
"MGL","R_448","RSn 448","Long Name 448","3"
"MGL","R_449","RSn 449","Long Name 449","3"
"MGL","R_450","RSn 450","Long Name 450","3"
"MGL","R_451","RSn 451","Long Name 451","3"
"MGL","R_452","RSn 452","Long Name 452","3"
"MGL","R_453","RSn 453","Long Name 453","3"
"MGL","R_454","RSn 454","Long Name 454","3"
"MGL","R_455","RSn 455","Long Name 455","3"
"MGL","R_456","RSn 456","Long Name 456","3"
"MGL","R_457","RSn 457","Long Name 457","3"
"MGL","R_458","RSn 458","Long Name 458","3"
"MGL","R_459","RSn 459","Long Name 459","3"
"MGL","R_460","RSn 460","Long Name 460","3"
"MGL","R_461","RSn 461","Long Name 461","3"
"MGL","R_462","RSn 462","Long Name 462","3"
"MGL","R_463","RSn 463","Long Name 463","3"
