origin_id,destination_id,fare_id
TKDM,ATTK,F5
TKDM,CCUV,F5
TKDM,CGPP,F4
TKDM,CPPY,F6
TKDM,EDAP,F4
TKDM,EMKM,F2
TKDM,ERSH,F2
TKDM,JLSD,F3
TKDM,KALR,F3
TKDM,KLMT,F5
TKDM,KVTR,F2
TKDM,TNHL,F3
TKDM,MACE,F3
TKDM,MGRD,F3
TKDM,MUTT,F5
TKDM,PARV,F4
TKDM,PDPM,F4
TKDM,PNCU,F6
TKDM,VYTA,F1
VYTA,ALVA,F6
VYTA,ATTK,F5
VYTA,CCUV,F4
VYTA,CGPP,F4
VYTA,CPPY,F5
VYTA,EDAP,F4
VYTA,EMKM,F1
VYTA,ERSH,F2
VYTA,JLSD,F3
VYTA,KALR,F3
VYTA,KLMT,F5
VYTA,KVTR,F2
VYTA,TNHL,F3
VYTA,MACE,F2
VYTA,MGRD,F3
VYTA,MUTT,F5
VYTA,PARV,F3
VYTA,PDPM,F4
VYTA,PNCU,F6
VYTA,TKDM,F1
